timestamp,brightness,contrast,blur,entropy
2025-06-09 20:25:42,109.8,47.14,80.71,6.84
2025-06-09 20:25:42,111.09,52.97,102.08,6.74
2025-06-09 20:25:43,104.33,58.46,79.24,6.62
2025-06-09 20:25:43,99.67,66.27,99.4,6.88
2025-06-09 20:25:43,94.45,63.21,130.99,6.9
2025-06-09 20:25:43,96.61,66.57,151.54,7.03
2025-06-09 20:25:43,95.68,65.75,163.89,7.06
2025-06-09 20:25:43,96.27,64.53,170.03,7.01
2025-06-09 20:25:43,97.31,63.76,175.28,6.96
2025-06-09 20:25:43,97.12,63.81,177.5,7.01
2025-06-09 20:25:43,98.06,61.44,158.93,7.02
2025-06-09 20:25:43,100.41,60.68,145.47,6.97
2025-06-09 20:25:43,100.56,62.98,144.78,6.86
2025-06-09 20:25:43,95.38,58.1,112.6,6.91
2025-06-09 20:25:43,103.29,52.48,98.93,7.19
2025-06-09 20:25:43,102.7,52.5,89.57,7.29
2025-06-09 20:25:43,105.24,52.61,70.32,7.28
2025-06-09 20:25:43,108.51,48.29,54.3,7.29
2025-06-09 20:25:44,109.77,46.48,56.34,7.37
2025-06-09 20:25:44,110.44,47.12,96.21,7.36
2025-06-09 20:25:44,109.7,47.11,118.53,7.35
2025-06-09 20:25:44,110.17,47.98,111.85,7.35
2025-06-09 20:25:44,109.35,48.56,101.16,7.33
2025-06-09 20:25:44,109.0,48.54,94.96,7.31
2025-06-09 20:25:44,109.35,45.21,85.55,7.23
2025-06-09 20:25:44,110.21,45.18,88.62,7.27
2025-06-09 20:25:44,110.37,44.94,84.63,7.28
2025-06-09 20:25:44,110.98,44.77,88.57,7.23
2025-06-09 20:25:44,110.42,46.47,85.96,7.27
2025-06-09 20:25:44,110.22,46.65,80.32,7.25
2025-06-09 20:25:44,110.44,46.0,77.06,7.22
2025-06-09 20:25:44,109.66,43.47,78.96,7.18
2025-06-09 20:25:44,111.61,42.1,62.09,7.2
2025-06-09 20:25:45,111.57,43.0,61.21,7.23
2025-06-09 20:25:45,111.76,43.99,71.82,7.24
2025-06-09 20:25:45,110.96,45.12,84.08,7.18
2025-06-09 20:25:45,110.48,47.31,93.93,7.27
2025-06-09 20:25:45,112.02,46.99,104.31,7.29
2025-06-09 20:25:45,107.7,60.16,91.65,6.85
2025-06-09 20:25:45,100.24,68.75,100.77,6.93
2025-06-09 20:25:45,34.23,33.05,184.07,6.42
2025-06-09 20:25:45,42.52,34.68,198.71,6.72
2025-06-09 20:25:45,49.9,33.37,199.31,6.82
2025-06-09 20:25:45,42.35,34.27,194.77,6.73
2025-06-09 20:25:45,34.46,27.87,201.97,6.42
2025-06-09 20:25:45,27.67,27.75,172.33,6.17
2025-06-09 20:25:46,29.69,28.69,176.17,6.27
2025-06-09 20:25:46,34.69,32.33,172.99,6.5
2025-06-09 20:25:46,40.62,37.46,165.37,6.72
2025-06-09 20:25:46,47.13,38.05,186.6,6.92
2025-06-09 20:25:46,48.9,35.86,169.88,6.92
2025-06-09 20:25:46,54.64,31.49,165.42,6.85
2025-06-09 20:25:46,37.04,30.7,170.88,6.54
2025-06-09 20:25:46,36.37,32.45,166.27,6.56
2025-06-09 20:25:46,38.1,35.6,159.9,6.63
2025-06-09 20:25:46,43.43,39.35,175.0,6.84
2025-06-09 20:25:47,46.67,36.71,181.97,6.88
2025-06-09 20:25:47,45.04,30.3,184.39,6.73
2025-06-09 20:25:47,34.77,29.28,172.78,6.47
2025-06-09 20:25:47,30.17,29.99,155.17,6.29
2025-06-09 20:25:47,35.26,33.38,163.91,6.53
2025-06-09 20:25:47,37.49,38.67,156.03,6.62
2025-06-09 20:25:47,45.5,38.67,170.5,6.89
2025-06-09 20:25:47,43.12,31.51,179.48,6.73
2025-06-09 20:25:47,36.41,30.94,180.24,6.53
2025-06-09 20:25:47,33.94,34.6,167.24,6.49
2025-06-09 20:25:47,44.36,42.36,172.67,6.86
2025-06-09 20:25:47,57.1,43.05,180.61,7.12
2025-06-09 20:25:48,64.96,37.49,175.65,7.02
2025-06-09 20:25:48,54.43,36.44,188.88,6.94
2025-06-09 20:25:48,48.79,40.98,179.8,6.92
2025-06-09 20:25:48,55.74,41.75,190.32,7.0
2025-06-09 20:25:48,62.63,44.76,187.3,7.07
2025-06-09 20:25:48,64.42,37.46,182.41,6.88
2025-06-09 20:25:48,49.65,29.21,179.29,6.75
2025-06-09 20:25:48,40.12,32.28,164.39,6.64
2025-06-09 20:25:48,38.26,34.68,166.65,6.64
2025-06-09 20:25:48,37.03,37.21,173.41,6.59
2025-06-09 20:25:49,37.03,33.17,167.31,6.59
2025-06-09 20:25:49,43.38,29.74,184.64,6.68
2025-06-09 20:25:49,31.79,29.87,160.25,6.36
2025-06-09 20:25:49,97.62,60.57,128.72,7.48
2025-06-09 20:25:49,96.39,61.04,156.32,7.47
2025-06-09 20:25:49,95.27,61.61,164.23,7.51
2025-06-09 20:25:49,98.15,61.19,146.77,7.53
2025-06-09 20:25:49,95.13,62.02,163.26,7.54
2025-06-09 20:25:49,93.45,63.28,163.04,7.57
2025-06-09 20:25:49,98.41,65.01,153.76,7.65
2025-06-09 20:25:50,97.44,64.13,142.86,7.67
2025-06-09 20:25:50,97.12,62.34,150.79,7.68
2025-06-09 20:25:50,101.3,59.52,139.75,7.65
2025-06-09 20:25:50,102.72,58.22,105.8,7.57
2025-06-09 20:25:50,99.36,57.59,97.46,7.55
2025-06-09 20:25:50,98.64,58.66,113.08,7.61
2025-06-09 20:25:50,83.55,53.92,158.35,7.52
2025-06-09 20:25:50,76.32,47.78,185.62,7.35
2025-06-09 20:25:50,62.52,42.31,207.89,7.15
2025-06-09 20:25:50,52.01,39.58,228.61,6.98
2025-06-09 20:25:50,52.3,40.77,236.43,7.0
2025-06-09 20:25:50,52.95,42.85,225.22,7.05
2025-06-09 20:25:51,54.89,43.69,221.86,7.09
2025-06-09 20:25:51,61.38,45.69,222.82,7.19
2025-06-09 20:25:51,59.59,47.28,205.93,7.22
2025-06-09 20:25:51,63.97,42.49,205.38,7.24
2025-06-09 20:25:51,61.48,40.33,208.13,7.19
2025-06-09 20:25:51,62.72,40.11,210.91,7.17
2025-06-09 20:25:51,58.94,44.31,210.65,7.19
2025-06-09 20:25:51,57.02,44.55,204.4,7.14
2025-06-09 20:25:52,60.04,44.75,199.39,7.19
2025-06-09 20:25:52,70.42,46.34,189.56,7.33
2025-06-09 20:25:52,70.56,43.27,204.68,7.23
2025-06-09 20:25:52,71.04,38.16,208.55,7.16
2025-06-09 20:25:52,74.9,35.36,196.77,7.09
2025-06-09 20:25:52,55.86,37.28,227.1,7.02
2025-06-09 20:25:52,48.75,37.76,223.25,6.91
2025-06-09 20:25:52,49.16,38.68,212.39,6.93
2025-06-09 20:25:52,54.83,40.52,215.86,7.05
2025-06-09 20:25:52,56.18,42.63,213.63,7.08
2025-06-09 20:25:53,59.85,38.25,213.96,7.1
2025-06-09 20:25:53,61.25,40.02,213.85,7.13
2025-06-09 20:25:53,49.89,39.35,220.3,6.95
2025-06-09 20:25:53,68.33,49.43,191.48,7.35
2025-06-09 20:25:53,75.75,45.02,178.77,7.37
2025-06-09 20:25:53,70.71,40.34,172.58,7.21
2025-06-09 20:25:53,64.37,39.56,193.64,7.06
2025-06-09 20:25:53,60.95,40.53,187.51,7.08
2025-06-09 20:25:53,70.71,39.82,178.85,7.12
2025-06-09 20:25:53,75.0,46.97,187.35,7.38
2025-06-09 20:25:54,72.08,42.05,183.6,7.27
2025-06-09 20:25:54,65.17,39.91,202.94,7.1
2025-06-09 20:25:54,62.59,37.77,182.47,7.06
